,elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,ln_neg_spdst33,a-1
11,Al,EAM_Dynamo_Mendelev_Asta_AlMg__MO_658278549784_001,4.04527051002,3.41065698613,0.687707254073,0.383029872737,0.484588999849,0.152338690668,66.1976702881,32.0786628372,10.084466417,0.65839109736,0.638306281579,5.50634314432,2.66831383549,2.39858159848,-2.01460872437,5.46627528035,-9.01851156604,1.39754842343,1.22690493729,-0.374392034401,-0.959642296142,-0.724454170303,-1.88164900887,4.1926452703,3.4681911,2.31099626143,-0.417956151339,-0.44893704566,1.70590072667,0.981446750631,0.874877562012,-100.0,1.69859744854,-100.0,2.19927930561,0.247202256938
12,Al,EAM_Dynamo_Mendelev_Kramer_Al__MO_106969701023_001,4.04525974393,3.41065695372,0.662145615725,0.371539251337,0.468408039466,0.145303182194,66.1971417538,31.0072733871,9.61865534897,0.658352790344,0.638500606147,5.59302959619,2.61982028996,2.371697526,-2.02641127046,5.68925208048,-9.44501337707,1.39754576203,1.22690492779,-0.412269783903,-0.990100764048,-0.758415483729,-1.92893280779,4.19263728609,3.43422180236,2.26370447829,-0.418014335799,-0.44863265418,1.72152110747,0.963105723804,0.863605954456,-100.0,1.73857879494,-100.0,2.24548691726,0.247202914844
13,Al,EAM_Dynamo_Mendelev_Srolovitz_AlFe__MO_577453891941_001,4.03330182731,3.36970548336,0.728539861501,0.383494641054,0.498509714536,0.172522610223,65.6118327834,32.7081360311,11.3195246533,0.676879973832,0.724912974695,3.6502168233,1.81966862361,1.92759172565,-1.96423828177,4.18119339762,-7.0979928804,1.39458535249,1.21482534688,-0.316712937615,-0.958429632056,-0.696132202235,-1.75722697734,4.18375605748,3.48762385525,2.42652908014,-0.390261313026,-0.321703666236,1.29478656947,0.598654409573,0.656271413211,-100.0,1.43059670761,-100.0,1.95981205118,0.247935821026
14,Al,EAM_Dynamo_Mishin_Farkas_Al__MO_651801486679_001,4.05000466019,3.35999998818,0.710239505222,0.384178779277,0.492865687925,0.163030362972,66.4303543166,32.7412422794,10.8301647766,0.67507953031,0.631316836617,8.1897278498,4.03643422364,4.76212830673,-0.637138110169,7.52319690072,-9.03590659569,1.39871803178,1.21194097046,-0.342153034532,-0.956647263704,-0.707518580343,-1.81381881962,4.19615409535,3.488635515,2.38233527573,-0.392924772369,-0.459947424209,2.10288066774,1.39536168432,1.56069469158,-100.0,2.0179911674,-100.0,2.20120626164,0.246913296133
15,Al,EAM_Dynamo_Mishin_Mehl_NiAl__MO_109933561507_001,4.05152635892,3.36217731987,0.905419999681,0.487600618386,0.626873745484,0.208909690647,66.5052616168,41.6904024442,13.8935936308,1.26185049954,0.871033350385,0.118885271034,0.0745261398713,-0.901415476058,-7.88160290267,3.85221296309,-12.8540190964,1.39909368886,1.21258877597,-0.0993563548925,-0.718258613152,-0.467010121489,-1.56585322257,4.19728106659,3.7302709451,2.63142784402,0.232579293976,-0.138075013097,-2.12959635988,-2.59660534438,-100.0,-100.0,1.34864777878,-100.0,2.55365653259,0.246820558824
16,Al,EAM_Dynamo_Mishin_NiAl__MO_101214310689_001,4.04999986638,3.36000002258,0.729057073302,0.375197261696,0.493150532231,0.176929905803,66.4301184249,32.7600482574,11.7534745954,0.708114226003,0.644285935914,6.84483118404,3.37553216169,2.89308133689,-1.67439003498,5.22894254272,-7.67863051606,1.39871684813,1.2119409807,-0.316003260186,-0.980303360129,-0.706940812335,-1.73200163725,4.19615054438,3.48920973204,2.46414890712,-0.34514986214,-0.43961265155,1.92349379577,1.21655298943,1.06232214067,-100.0,1.65420906695,-100.0,2.03844121304,0.246913588393
17,Al,EAM_Dynamo_PurjaPun_Mishin_NiAl__MO_751354403791_001,4.04999999459,3.35999998785,0.710194117022,0.384090563157,0.492791747779,0.163051776932,66.4301247338,32.7362172727,10.8315498797,0.67509459178,0.631328227985,8.18936032261,4.03565117165,4.76094581413,-0.6383696861,7.52202644026,-9.03506745136,1.39871687978,1.21194097036,-0.342216942059,-0.956876912646,-0.707668612482,-1.81368747872,4.19615063935,3.48848202687,2.38246316062,-0.392902461957,-0.459929380549,2.10283579013,1.39516766953,1.56044634895,-100.0,2.0178355751,-100.0,2.20111338958,0.246913580577
18,Al,EAM_Dynamo_Sturgeon_Laird_Al__MO_120808805541_001,4.05001022851,3.39000193282,0.590292918813,0.425514733916,0.480440795548,0.0823890924484,66.4306283207,31.9159839191,5.47315917811,0.885364783456,0.552859421553,3.33243696444,1.60103863701,1.78802713877,-1.97625464995,7.98482971912,-14.8597028034,1.39871940667,1.22083049155,-0.52713639272,-0.854455704269,-0.733051272423,-2.49630222403,4.19615822002,3.4631069476,1.69985599599,-0.121755534203,-0.59265152035,1.2037038575,0.470652566773,0.581112854918,-100.0,2.07754345634,-100.0,2.69865303932,0.246912956654
19,Al,EAM_Dynamo_Vailhe_Farkas_CoAl__MO_284963179498_001,4.04969652717,3.36845804878,0.590117871133,0.490052274805,0.523407473581,0.0500327981638,66.4151929797,34.7622083649,3.32293794536,0.631973530789,0.301811957355,6.56546803812,3.43641509764,2.99022766696,-0.783007301915,13.6725421718,-24.0350783778,1.39864194675,1.21445508736,-0.527432980455,-0.713243210292,-0.647395010079,-2.99507652533,4.19592584024,3.54853083016,1.20084931492,-0.458907767375,-1.1979511133,1.88182379815,1.23442880522,1.0953495273,-100.0,2.61538960066,-100.0,3.17951436233,0.246932083254
20,Al,EAM_Dynamo_Winey_Kubota_Al__MO_149316865608_001,4.02484538405,2.64597961716,0.709997862197,0.385160605182,0.493439690853,0.162418628508,65.2000012886,32.1722684795,10.589694788,0.662999430355,0.429519828132,7.93519992912,3.91554290972,3.61415766677,-1.66260210975,6.66804390935,-9.57627897147,1.39248649623,0.973041362398,-0.342493319942,-0.954094875364,-0.706354634561,-1.81757815027,4.1774594887,3.47110485414,2.35988133842,-0.410981147989,-0.845087373008,2.07130854952,1.36495399409,1.28485881788,-100.0,1.89732654995,-100.0,2.25928910019,0.248456749162
