elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,surface100,surface121,surface111,surface110,element,lattice,model
Cu,EAM_Dynamo_Hoyt_Garvin_PbCu__MO_119135752160_002,3.61503431848,3.540053051404032,1.0565415656626576,0.778678729139125,0.8712996746469691,0.1389314182617663,47.242978832627706,41.16279208622217,6.563534052127572,1.2858990849674374,0.6772682712703946,3.0433204431784704,2.651643823700857,3.456901395906751,-1.5453993549759024,6.68551213740565,-11.31723630644119,1.2851013489211296,1.2641417133057156,0.055000900094820844,-0.25015673263317156,-0.13776930315599614,-1.9737748614104604,3.855304046763389,3.7175347436073927,1.8815291853529286,0.25145815070479505,-0.3896878197608496,1.1129491703915073,0.9751797585154048,1.2403726375089064,-100,1.8999428175530457,-100,0.0803846434911,0.0854066302663,0.0736999383445,0.0881501691928,Cu,fcc,EAM_Dynamo_Hoyt_Garvin_PbCu__MO_119135752160_002
Pb,EAM_Dynamo_Hoyt_Garvin_PbCu__MO_119135752160_002,4.91013044565,2.0299992097479356,0.2686808511371419,0.2241882047831729,0.23901908690116258,0.02224632317698451,118.3802056409732,28.29512865947727,2.6335243124469745,0.3102897707769408,0.2238447514018327,24.24605739051011,5.795270659303325,4.815826738852042,3.155412541975898,18.38384365388704,-18.935001884461677,1.5913005087956824,0.7080354037668889,-1.314231030741454,-1.4952693799725905,-1.4312118687282467,-3.805578534497858,4.773901526387047,3.3426896576588008,0.9683229918891897,-1.1702486736627336,-1.4968025415129427,3.1882540223309985,1.7570421813616652,1.5719077312073781,1.149119245599083,2.9114722166036917,-100,0.0380030914163,0.0400193788947,0.0375611782629,0.041811912874,Pb,fcc,EAM_Dynamo_Hoyt_Garvin_PbCu__MO_119135752160_002
Pb,EAM_Dynamo_Landa_Wynblatt_AlPb__MO_699137396381_002,4.9091222349,2.0300039202347677,0.2745494761920753,0.22934139152151853,0.2444107530783708,0.022604042335278393,118.307298601948,28.915575945969795,2.6742231861708547,0.31267164082417187,0.22123005925261455,23.095246845364812,5.644726698105799,4.411451175327027,2.754178742708768,17.48262270440822,-19.17614005363629,1.5910951549288774,0.7080377242019632,-1.2926237931371476,-1.472543592885727,-1.4089050547869002,-3.7896265243053757,4.773285464786633,3.364380409999732,0.9836589404812565,-1.162601709951253,-1.5085521268276394,3.1396268320854546,1.730721781567905,1.4842037000288468,1.0131193011447184,2.861207399270423,-100,0.0379713835782,0.0400047007678,0.0375345350212,0.0417921431399,Pb,fcc,EAM_Dynamo_Landa_Wynblatt_AlPb__MO_699137396381_002
Cu,EAM_Dynamo_Mendelev_King_Cu__MO_748636486270_002,3.63902985156,3.4227191629636278,1.0868118680498964,0.7938575016649332,0.8915089571265876,0.1464771831924816,48.18999204054795,42.96180954800746,7.058734292167572,1.1068956073274512,0.9201298010269047,3.5365119750499976,3.1528320813591577,4.692236286638401,-0.74742275852161,7.265884991871064,-11.302395065498008,1.2917171218280334,1.2304353120582683,0.08324851868884127,-0.23085130277733032,-0.11483979447581165,-1.920885608781108,3.8751513654841006,3.760311571008289,1.9542657567029926,0.10155934695586379,-0.08324053081831466,1.263140923618529,1.1483011223604485,1.5459092889943336,-100,1.983190105414874,-100,0.0747976643999,0.0758267414882,0.063700694775,0.0796857415605,Cu,fcc,EAM_Dynamo_Mendelev_King_Cu__MO_748636486270_002
Pb,EAM_Dynamo_Zhou_Johnson_Pb__MO_116920074573_002,4.94935555464,2.019998061558366,4.693595167058098,0.2640568244953334,1.7405696053495883,2.2147691712813824,121.24000959978304,211.02667566167466,268.51863558745833,0.5927633485683994,0.31453101127639504,-4.712861332156282,-8.203063338127889,-9.338354855319867,-12.13846083983588,-1.7564044420215863,-2.388548467428648,1.5992573771231993,0.7030965517880817,1.546198848941344,-1.3315909546970464,0.5542124190523564,0.7951481864555777,4.797772131369598,5.351984550421954,5.592920317825175,-0.522960034562816,-1.1566726026904117,-100,-100,-100,-100,-100,-100,0.0240297743606,0.0252032469119,0.0217049238996,0.0263748007171,Pb,fcc,EAM_Dynamo_Zhou_Johnson_Pb__MO_116920074573_002
Al,EAM_CubicNaturalSpline_Ercolessi_Adams_Al__MO_800509458712_000,4.03208277684,3.360000001085944,0.7361043770576013,0.38802041145267585,0.504048399987651,0.17404198280246275,65.55235796610602,33.04156114823349,11.408862357797904,0.6949174648177844,0.6094950681900209,6.608247053041589,3.3308763695902415,3.1324756554879603,-1.9472588865155305,5.816253114742345,-8.777163551619003,1.3942830605285688,1.2119409742983105,-0.30638335365394226,-0.9466973339057613,-0.6850829837999891,-1.7484587283971365,4.1828491815857065,3.497766197785717,2.43439045318857,-0.3639621961272206,-0.49512442166037157,1.8883184224813014,1.20323544341926,1.1418236361658556,-100,1.7606562597007291,-100,0.0588393988131,0.0633100978066,0.0543011961363,0.06467023161,Al,fcc,EAM_CubicNaturalSpline_Ercolessi_Adams_Al__MO_800509458712_000
Cu,EAM_Dynamo_Mendelev_Kramer_CuZr__MO_600021860456_002,3.63908511817,3.2831162319607663,1.1064354647789563,0.8022624798087704,0.9036534747988324,0.15208649248509293,48.19218768448563,43.54903785924294,7.329380790116712,1.048731056062688,0.9929765226828042,3.578722696094939,3.2339251402793674,4.147728061288333,-1.518440175934936,7.042655984596293,-11.585453774921405,1.2917323088950778,1.1887930420842638,0.10114355506560108,-0.22031944310347848,-0.10130931641508953,-1.8833058904645703,3.8751969266852337,3.7738876102701444,1.9918910362206634,0.04758091528708853,-0.00704825803337443,1.275005947948045,1.1736966131688107,1.422560729223098,-100,1.9519853695605616,-100,0.0675885133833,0.0680344614933,0.0563360039165,0.0720161614545,Cu,fcc,EAM_Dynamo_Mendelev_Kramer_CuZr__MO_600021860456_002
Al,EAM_Dynamo_Angelo_Moody_NiAlH__MO_418978237058_002,4.05000005648,3.359999997072268,0.7116319090955741,0.38725874079151856,0.4953831302262037,0.16218658415202775,66.43012777923964,32.90836464060642,10.774075509297607,0.5249221884797156,0.18171735807252565,5.557211079052395,2.7529488367319375,1.8140564463816642,-0.8375725451443723,3.3507755764708436,-4.823851980852347,1.3987168950641267,1.211940973103764,-0.340194482858568,-0.9486622284963303,-0.702423815340351,-1.819007852484715,4.19615068519238,3.493726869852029,2.377142832707665,-0.6445052397946487,-1.7053027766484918,1.7150963779298962,1.0126726414370806,0.595565468288016,-100,1.2091918344058596,-100,0.0632746711347,0.069935982192,0.0624421814241,0.0716700854339,Al,fcc,EAM_Dynamo_Angelo_Moody_NiAlH__MO_418978237058_002
Ni,EAM_Dynamo_Mishin_Mehl_NiAl__MO_109933561507_002,3.45246419211,4.501335164057344,3.963677013001226,1.970714159752232,2.6350351108352297,0.996481426624497,41.15167800244351,108.43611640622441,41.006882803866844,0.565730600951927,1.0328471856615624,3.4300339155743282,9.038259899496513,8.080634619598719,1.8898644729368936,1.79659761355521,-1.3097172997041646,1.239088234664614,1.504374055892461,1.3771721330777338,0.6783959946969803,0.968896506699705,-0.003524778113628932,3.717264703993842,4.686161210693546,3.713739925880213,-0.5696372841382533,0.03231924663056938,1.232570149051508,2.2014666668819527,2.0894704114782847,0.6365051190596526,0.5858946615003927,-100,0.0800342140248,0.0854210326232,0.0670755841243,0.0930268485731,Ni,fcc,EAM_Dynamo_Mishin_Mehl_NiAl__MO_109933561507_002
Al,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_002,4.04976352572,3.3183172220457946,0.5626452425571319,0.4414315735601025,0.4818361298924456,0.0606068344985147,66.41848937128273,32.00282787196141,4.02541439296669,0.7179608322997981,0.4334654136518431,4.344557576340472,2.0933647881300335,1.9354625415497715,-1.05632326481568,8.876351882320574,-15.80556745950159,1.3986584907026496,1.199457793601445,-0.5751059692433093,-0.8177322572235696,-0.730151202213915,-2.803347611762568,4.195975472107949,3.465824269894034,1.3926278603453806,-0.33134026253636634,-0.8359432699079032,1.468923929905929,0.7387727178758733,0.6603463374769468,-100,2.1833906485297554,-100,0.0362055419271,0.0378293917887,0.0327517809177,0.0391409287924,Al,fcc,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_002
Ca,IMD_EAM_Schopf_CaCd__MO_145183423516_002,5.67090640962,1.4406639524421403,1.3534329951663466,0.19041082696421374,0.5780848830315913,0.5815110841010664,182.3716971924905,105.42632123979367,106.05116334375657,0.7737915672296325,0.8247275285930253,1.1753977974447238,0.6794799081179387,0.7995103332166963,-3.214422801817068,0.8399425143143522,-2.611352841141345,1.7353489655664907,0.36510408540889144,0.3026443239826431,-1.6585712939337403,-0.5480345646360729,-0.5421252459822665,5.206046896699472,4.658012332063399,4.663921650717206,-0.25645273464324764,-0.1927022155701566,0.16160664131744432,-0.3864276144551209,-0.22375582219290546,-100,-0.1744218248266394,-100,0.0131674654252,0.015059739712,0.0141001482801,0.0150097295889,Ca,fcc,IMD_EAM_Schopf_CaCd__MO_145183423516_002
Al,EAM_Dynamo_Ercolessi_Adams_Al__MO_123629422045_002,4.03208199832,3.3600000013137725,0.7361463005776098,0.38800450857385843,0.5040517725751089,0.17407089600187567,65.5523199952993,33.041763090041364,11.41075107658342,0.694916174059084,0.6094950827183552,6.607214998663296,3.330378397188516,3.1305568853850545,-1.9497146806803414,5.814565729007786,-8.777969920973632,1.3942828674471965,1.2119409743661167,-0.3063264020482726,-0.9467383193906581,-0.6850762928231405,-1.748292614465479,4.182848602341589,3.4977723095184485,2.4345559878761103,-0.36396405355628875,-0.4951243978236994,1.8881622335601191,1.2030859303259802,1.1412109073797874,-100,1.7603661020138,-100,0.058839408162,0.0633100968865,0.0543011945376,0.0646702227384,Al,fcc,EAM_Dynamo_Ercolessi_Adams_Al__MO_123629422045_002
Xe,EAM_Dynamo_Smirnova_UMoXe__MO_679329885632_002,6.66976841487,6.814877997250816,0.12392191274663074,0.06194995977358403,0.08260727743126627,0.030985976486523355,296.7100551700872,24.51040984408171,9.193850792815368,0.00312542333160392,0.15190262523709652,0.008589132347065171,0.0007095432479565403,-0.4867402212713948,-1.8279030441282886,3.445810819002605,-18.195639400237702,1.8975851389154696,1.9191081628973956,-2.088103647658313,-2.7814283202440158,-2.4936574978414288,-3.4742205482502744,5.692755416746409,3.19909791890498,2.2185348684961346,-5.7681855388552234,-1.8845155868628902,-4.757257555414079,-7.2508891076806075,-100,-100,1.2371592378763465,-100,0.0000491424978403,0.0000474166163728,0.0000402757461221,0.000049253007231,Xe,fcc,EAM_Dynamo_Smirnova_UMoXe__MO_679329885632_002
